context,sq,spit,depth,z,q_a,q_b,q_c,q_d,complete,n_afts,n_<15,n_cores,calcrete,1mm,bone,description,,,,,aft_density,15 rat,change,,a,b,c,d,,,,calc_3mm,calc_1mm,charcoal,,,,,,
41,1,22,1.05,99.34,1,1,1,1,1,13,14,1,32,19,1,"Sediment increasingly pedal and hard to dig, though becoming much softer and apedal in E part of QC and QB. Quite a few artefacts in A; very few in D, C or B. Hammerstone in B - related to core in A and flakes in others? ;  )",hammerstone. ,,,,27,1.1,1,,,21,11,,,,,1944,1144.7,,,,,,,
43,1,23,1.1,99.29,1,1,1,1,1,22,23,3,73,35,1,Seds still strongly pedal. Artefacts numbers relatively high. Two cores at least in the last two units. Lots of small hrnf flakes. Large unworked non-river-rolled rock in section and another appearing in base,nothing in A or B. 1 mm only,,,,45,1.0,2,,29,,,,,,,1038,261,,,,,,,
45,1,24,1.15,99.24,1,1,1,1,1,11,14,1,31,25,1,"Rock hard sediment, had to dig with hammer and chisel in most places. One large rock with colluvial cortex still in D. Artefact count difficult to monitor due to sediment compaction- difficult to break up.",nothing in B. 1 mm only,,,,25,1.3,1,,6,,,,,,,1966.4,887.2,,,,,,,
47,1,25,1.2,99.19,1,1,1,1,1,11,18,1,18,2,1,,hammerstone. ,,,,29,1.6,1,,,9,,5,,,,2576.5,2668.3,,no artefacts in the 3 mm of QB,,,,,
49,1,26,1.25,99.14,1,1,1,1,1,29,17,2,60,23,m,,nothing in A. 1 mm only,,,,46,0.6,5,,,,,,,,,,,,,,,,,
51,1,27,1.3,99.09,1,1,1,1,1,6,4,0,86,0,,"Context was very compact on eastern margin, quads b and c both requiring hammer and chisel to break up the sediments. gradually getting softer towards western margin. low artefact density, although this could be skewed by deposit compaction.","D includes four unworked pebbles of qtz, hrnf and sand",,,,10,0.7,5,,,,,,,,,,,,,,,,,
52,1,28,1.35,99.04,1,1,1,1,1,0,2,0,73,1,,"artefact numbers appear to have dropped off, although this may be due to the compact nature of the deposit, making artefact identification very difficult.",six small unworked subang qtz pebbles after 2,,,,2,#DIV/0!,0,,,,,,,,,,,,,,,,,
53,1,29,1.4,98.99,1,1,1,1,1,4,4,0,nd,11,m,Extreme compaction constant through last three spits. Artefact count low (< 15 observed). Calcareous rhysolith like nodels frequent. Difficult to excavate at a level due to copmaction,,,,,8,1.0,1,,,,,,,,,,,,,,,,,
54,1,30,1.45,98.94,1,1,1,1,1,1,5,0,nd,17,m,Markedly less compact than previous spits which may be related to the rain fallen the previous night.. Artefact count still very low.,,,,,6,5.0,1,,,,,11,,,,,,,,,,,,
55,1,31,1.5,98.89,1,1,1,1,1,2,3,0,10,6,,Same as previous context.,"four unworked pebbles <10 mm in A, one in D",,,,5,1.5,0,,6,6,,6,,,,265.4+478.5+533.8,409.9+1147.3+732.2,,,,,,,
56,1,32,1.55,98.84,1,1,1,1,1,7,9,0,18,5,m,"Due to some consolodated pedal like chunks of soil in quads A and D, these quads were unavoidably dug +- 30mm too low. Otherwise artefact numbers raw-material composition seem to be fairly similar to c55.",,,,,16,1.3,1,,4,3,,2,,,,340.9+335.9+296.1,393.8+441.9595,,,,,,,
57,1,33,1.6,98.79,1,1,1,,0.75,6,10,0,25,33,f,"context has become softer in all quads, with paches of harder material. Artefact numbers have increased,no concentrations.",no artefacts in A,,,,21,1.7,1,,,,,,,,,193.7,ndA,,,,,,,
58,1,34,1.65,98.74,1,1,1,1,1,9,8,0,25,,,no change.,nice bg chert in the subs; no artefacts in A; crystal qtz in B,,,,17,0.9,2,,0,14,,,,,,181.5+139.4,605.9+375.5,,,,,,,
59,1,35,1.7,98.69,1,1,1,1,1,6,5,0,30,,,,First bit of serious hrnf decay noted so far.,,,,11,0.8,0,,,,,,,,,,,,,,,,,
5,2,4,0.15,100.24,1,,,1,1,100,109,8,,,f.m,"This is the first context to be removed from square two, many artefacts scattered loosely on surface.Artefacts bedded at angles.",,,,,209,1.1,1,,,,,19,,,,,,,,,,,,
6,2,5,0.2,100.19,1,,,1,1,71,93,5,,,,Excavated western parts of quad A and D. Many artefacts bedded at angles. Artefact frequency seemingly lower than square 1.,big slab of heat shattered streaking red rock; two hammers/grinders in QD,,,,164,1.3,1,,20,,,62,,,,,,,,,,,,
8,2,6,0.25,100.14,1,,,1,1,79,109,5,,,m,Calcareous material throughout; compaction varying from compact to loose. Relatively few artefacts. Some at angles.,one very small hrnf core in here and a nice retouch silc flake,,,,188,1.4,1,,8,,,70,,,,,,,,,,,,
10,2,7,0.3,100.09,1,1,1,1,1,116,215,11,,,f,"Numbers of artefacts(bedded at angles) are decreasing, with no obvious concentrations anywhere in this square. Many Riverine Cobbles (10x5cm) appear to be scattered in square in an almost linear fashion. Sediment is very compact",lots of (pink) coarse sandstone in B,,,,331,1.9,1,,,18,15,38,,,,880,751.7,,,,,,,
